Id,Machine Name,Machine Image,Machine link,Bond Placement Repeatability,Bonding Area,Loop Types,UPH,XY Resolution,Z Resolution,Fine Pitch Capability,Loop Height Variation,Wire Length,Wire Capacity,Optics Lens Magnification,S-Scan Vision Engine,Recognition Range,Reference Systems,Camera Type,Depth Of Field,Die Rotation,XY Motors Type,L/F Width,L/F Length,L/F Thickness,Die Site Indexing Pitch,No.of Magazine,No. of Levels,Magazine Width,Magazine Length,Magazine Height,Slot Pitch (Range of Pitch),Spool Diameter,Spool Width,Wire Count,Wire End,Drive Motor Type,Wire Clamp,Bond Time Range,Ultrasonic Mode,Transducer Frequency,Man Machine Interface,Storage Media ,Power Input,Power Consumption,Minimum Air Pressure,Air Consumption,Air Quality,Environmental Requirement,Machine Outline,Machine Weight,Machine Shipping Weight,Indexers,Material Handling Kits,Heavy Wire Kit,Illumination Kit,QFN Kit,Cu Application,Easy CU Convertion,Smart PR,Easy Cu Looping,Smart Wire Handler,Auto Wire Rethread
11,iHawk Xpress,ihawk-xpress.png,../html/Wire Bonders Products/iHawk Xpress.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Eagle Xpress,eagle-xpress.png,../html/Wire Bonders Products/Eagle Xpress.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,TwinEagle Xtreme,twineagle-xtreme.png,../html/Wire Bonders Products/TwinEagle Xtreme.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,iHawk Xtreme-V,ihawk-xtreme-V.png,../html/Wire Bonders Products/iHawk Xtreme-V.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,iHawk Xtreme R2R,ihawk-xtreme-R2R.png,../html/Wire Bonders Products/iHawk Xtreme R2R.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,iHawk Xtreme,ihawk-xtreme.png,../html/Wire Bonders Products/iHawk Xtreme.html,± 3.0 um @ 3 Sigma,"56 mm x 70 mm (LF width <=80mm); 
56 mm x  &ldquo;Y&rdquo; mm, where  &ldquo;Y&rdquo; is equal to (150  &ndash; lead frame width) mm","52 loop modes (eg Q-Loop, Sq-Loop, J-Loop, M-Loop
etc)",20 wires / sec (2mm wire),100 nm,200 nm,50 um BPP,3 - 16 mil,0.6 - 8 mm,3000,Single optical path with 2-4X adjustable magnification,-,"± 2.5 mil,
X & Y± 10°(programmable)
",-,CCD,"326 um @ 4X<br>
600 um @ 2X",-,"Multi-phase linear motor and fully programmable
(Handle multi-type devices)",,140 - 295 mm,0.1 - 0.8mm,-,3 (40 levels with 0.1'' pitch / 2.54mm),Programmable,16 - 100mm,140 - 295 mm,180mm (max) ,2.4 - 10 mm Programmable,,"50 mm, 
25 mm as option",,Yes,Stepper motor driven,Voice coil motor,1 - 255 ms,Multi-mode with programmable BQM board,138kHz,Windows GUI display,-,-,Max 1500W,-,8 mm (ID),-,-,720mm (width) X 820mm (length) X 1600mm (height),750 Kg,820Kg,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Harrier Xtreme,harrier-xtreme.png,../html/Wire Bonders Products/Harrier Xtreme.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Eagle Xtreme X2L,eagle-xtreme-X2L.png,../html/Wire Bonders Products/Eagle Xtreme X2L.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Eagle Xtreme R2R,eagle-xtreme-R2R.png,../html/Wire Bonders Products/Eagle Xtreme R2R.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Eagle Xtreme,eagle-xtreme.png,../html/Wire Bonders Products/Eagle Xtreme.html,± 2.0um @ 3-sigma,56 mm x 70 mm (LF width <=80mm),"52 loop modes (eg Q-Loop, Sq-Loop, J-Loop, M-Loopetc)",20 wires / sec (2mm wire),50nm,100nm,30 um BPP,3 - 16 mil,0.6 - 8 mm,3000 (standard),"Dual optical path 8X and 2.0X5.5 X and 2.0X as option",-,"± 2.5 mil,
X & Y± 10°(programmable)
",-,CCD,"100 um @ 8X<br>
730 um @ 2.0X<br>
120 um @ 5.5X as option",-,"Multi-phase linear motor and fully programmable(Handle multi-type devices)",28 - 90 mm,140 - 295 mm,0.1 - 0.8 mm,-,3 (40 levels with 0.1'' pitch / 2.54mm),Programmable,16 - 100mm,140 - 295 mm,180mm (max) ,2.4 - 10 mm Programmable,50mm,"50mm, 25mm as option",Yes,Yes,Stepper motor driven,Voice coil motor,1 - 255 ms,Multi-mode with programmable BQM board,138kHz,Windows GUI display,-,-,Max 1500W,-,-,-,-,720mm (width) X 820mm (length) X 1600mm (height),750Kg,820Kg,-,-,NA,NA,NA,NA,Yes,NA,NA,NA,NA
21,Harrier,harrier.png,../html/Wire Bonders Products/Harrier.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,iHawk-V,ihawk-V.png,../html/Wire Bonders Products/iHawk-V.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,iHawk,ihawk.png,../html/Wire Bonders Products/iHawk.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,HummingBird,hummingbird.png,../html/Wire Bonders Products/HummingBird.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TwinEagle,twineagle.png,../html/Wire Bonders Products/TwinEagle.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,VIM300,VIM300.png,../html/Wire Bonders Products/VIM300.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Eagle60-XL,eagle60-XL.png,../html/Wire Bonders Products/Eagle60-XL.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Eagle60-X2L,eagle60-X2L.png,../html/Wire Bonders Products/Eagle60-X2L.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Eagle60V,eagle60V.png,../html/Wire Bonders Products/Eagle60V.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Eagle60AP-LD,eagle60AP-LD.png,../html/Wire Bonders Products/Eagle60AP-LD.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Eagle60AP,eagle60AP.png,../html/Wire Bonders Products/Eagle60AP.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Eagle60,eagle60.png,../html/Wire Bonders Products/Eagle60.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,XKV-plus,xkv-plus.png,../html/Wire Bonders Products/XKV-Plus.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AB380,AB380.png,../html/Wire Bonders Products/AB380.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AB350W,AB350W.png,../html/Wire Bonders Products/AB350W.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AB350V-S,AB350V-S.png,../html/Wire Bonders Products/AB350V-S.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AB350V-M,AB350V-M.png,../html/Wire Bonders Products/AB350V-M.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AB350V,AB350V.png,../html/Wire Bonders Products/AB350V.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,AB350DH,AB350DH.png,../html/Wire Bonders Products/AB350DH.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,AB350,AB350.png,../html/Wire Bonders Products/AB350.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
